"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","368","Login API","chromium","Tue Feb 25 02:54:11 GMT 2025","passed","Tue Feb 25 02:54:12 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","178","List User Without Parameter","chromium","Tue Feb 25 02:54:10 GMT 2025","passed","Tue Feb 25 02:54:10 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","36","List users with page parameter","chromium","Tue Feb 25 02:54:10 GMT 2025","passed","Tue Feb 25 02:54:10 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","191","List users with page and per_page parameters","chromium","Tue Feb 25 02:54:10 GMT 2025","passed","Tue Feb 25 02:54:10 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","180","List users with page not data exist","chromium","Tue Feb 25 02:54:10 GMT 2025","passed","Tue Feb 25 02:54:11 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","165","Register success - should return id and token","chromium","Tue Feb 25 02:54:12 GMT 2025","passed","Tue Feb 25 02:54:12 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","178","Create a new user","chromium","Tue Feb 25 02:54:11 GMT 2025","passed","Tue Feb 25 02:54:11 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","166","Update an existing user","chromium","Tue Feb 25 02:54:11 GMT 2025","passed","Tue Feb 25 02:54:11 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","162","Register unsuccessful - should return missing password error","chromium","Tue Feb 25 02:54:12 GMT 2025","passed","Tue Feb 25 02:54:12 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","171","List users with id not exist","chromium","Tue Feb 25 02:54:11 GMT 2025","passed","Tue Feb 25 02:54:11 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","37","Single User","chromium","Tue Feb 25 02:54:11 GMT 2025","passed","Tue Feb 25 02:54:11 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","173","Update an existing user","chromium","Tue Feb 25 02:54:12 GMT 2025","passed","Tue Feb 25 02:54:12 GMT 2025","User API Tests","put_update_user.spec.ts","",""
